date,rating,userName,title,review
2025-02-20 15:00:36-07:00,5,Dog Madelyn,Please read🥹,"This is fun and all.But The reason I got this game is to make is to make my photos of feather but most of the things or a crown which is most of the good ones cause money and I don’t like spending money for games so if you like spend money for games, I would do that, but if you don’t don’t get this game unless you only want that OK ones"
2025-02-19 18:17:27-07:00,1,Zignatius,Doesn’t work well,Glasses removal and face swap don’t work. Spent way too much time and it either didn’t work or looked ridiculous
2025-02-12 00:39:38-07:00,3,Jjtee%,Shade remover,"The face shade remover you advertised was not easily accessible for me. What I did eventually find yielded horrible results, nothing like your promo."
2025-02-11 20:28:39-07:00,1,Hekdhnwnsk,$50 MORE?!,I’ve been battling with this app and the Apple Store for weeks over this I currently have a premium subscription on my android that I have had for years paying $28.99/year on this new apple phone it’s now trying to charge me $79.99/year. The app is signed into my account and shows it’s me but wants me to pay $50 more?! Makes no sense and both Apple Store and this app says it’s the other guy they can’t do anything….loyal customer for at least 3 years and they can’t do anything to help me?!
2025-02-10 23:08:08-07:00,1,Piimpdaddybry,Zero stars,This used to be my favorite app until they started charging for every single thing… I have to pay to remove blemishes now … really.? No thanks.
2025-02-10 10:46:07-07:00,1,Whydidyoutakethataway,Nose feature and lip shape size feature is missing.,This app asked me to update it and I did only to be massive disappointed. Nose feature and lip shape size feature is missing. Why is that?
2025-02-07 12:25:17-07:00,5,Wut Yi Win,Verrry nice Camera,Happy to our mind
2025-02-07 09:00:42-07:00,1,Niko7313,Scam,"It runs on the point system, even if you pay for it. You still have to pay for points to use the app, it is a scam."
2025-02-05 21:53:32-07:00,5,I’m just gonna be honest there,I’m just gonna be honest there,All the names in the book
2025-02-05 18:45:20-07:00,1,Tessita86,SCAM,Horrible app- I tried one photo and it made my bf look like some weird pirate. The next day I saw a charge for a YEAR SUBSCRIPTION. I NEVER signed up for this and they charged me for a year. Absolute joke
2025-02-04 04:25:11-07:00,1,آبن قويد,بفلوس,كل الميزات المعروفه بفلوس
2025-02-02 19:22:01-07:00,4,Vivifairy678,Pretty good,I really like it. The only thing is I don’t really like how you only get three things to do before you have to like buy something but overall it’s pretty good
2025-02-02 11:13:05-07:00,1,rizzo5586,Don’t waste your time or money.,"Incredibly non intuitive. When asked to remove glare from my glasses, it replaced my entire face with an ai generated person of another race. Is that worth $80/year to you? 

Pathetic"
2025-02-01 09:50:45-07:00,1,Sebas&&$,Publicida engañosa,Públicidad engañosa los voy a demandar por publicidad engañosa y si me hicieron pagar mucho dinero es muy mala no hace lo que uno elige muy mal
2025-01-31 08:52:52-07:00,1,Chuckerman,Careful! No Refund $79,"“UPDATE 01/31/25”: Publisher contacted me about my original review. Offered no solution aside from what I have already tried. Publisher told me to request a refund which I have done on two occasions and both times was declined.

Original Review: ""I was unknowingly enrolled in a $79 annual membership following an unauthorized purchase made by a family member. I discovered this during a routine bank account review. Upon contacting the publisher, I was unfortunately denied a refund. This leaves me with an app I have no use for. Due to their inflexible refund policy, I will not consider this publisher for any future subscriptions."""
2025-01-27 10:04:33-07:00,5,For filtros,La mejor aplicación para filtrar,Por eso le doy 5 estrellas
2025-01-26 09:34:23-07:00,5,Sweet little Addie,Sweet Addie,Love-love this app!!
2025-01-17 07:55:30-07:00,5,Party Rental Steve,Nice and easy to use!,Love this App. Easy to use for this old guy.
2025-01-15 18:38:49-07:00,5,Easy listener 100,So far so good,"I like it, easy to use"
2025-01-13 20:04:50-07:00,5,Gabipinto10,Muy bueno,Fantastico
2025-01-13 10:51:35-07:00,5,Fred The Cable Guy,Photo editing,"This website is excellent! Very user friendly and the changes begin with subtle editing so it doesn’t look extreme, but if you’d like stronger editing they do a great job with the whole range. Highly recommend."
2025-01-12 13:06:55-07:00,1,Grampgrans,Not free,"Really frustrating to download a free app only to find out it is not a free app, but subscription required"
2025-01-12 04:54:43-07:00,1,PMA Turkiye,Makes you look like a different person,"I bought this app to try open my eyes in photos where my eyes were shut. The app changes the whole face - not just the eyes, and it looks totally artificial. Unusable photos. Don’t waste your time and money on this app."
2025-01-11 15:24:05-07:00,1,Corruptedwaffles,Ai garbage,I used to really love this app. I had it on my Samsung and I just recently redownloaded it here. Really scummy how you refuse to let anyone opt out of your AI data scraping for photos. I will be deleting this app. Incredibly disappointed in this garbage.
2025-01-10 18:23:51-07:00,5,wineenthusiast,Easy to use!,"When the app showed remove something in a photo, it really let me remove it!"
2025-01-10 07:45:04-07:00,5,PHOTOlink,Excellent app- 99% PERFECT !,One issue is I can’t find where to turn off snap to grid. I wish it was easier to find
2025-01-08 17:38:16-07:00,3,Yogibud1111,Bug fix,"I have had a good experience with this app, but just recently the text border option isn’t working… I can no longer add text blurbs. The color option persists when I try to add a blurb for dialogue or thought. Please fix this."
2024-12-31 16:31:32-07:00,5,Guzy jewelry,Excelente aplicación,"Me encanta esta aplicación, es súper fácil de usar y edita las fotos de una manera espectacular."
2024-12-27 07:13:15-07:00,1,Angrywithfreegimmicks,Hard to cancel,Did 7 day free trial. Wanted to cancel first day & almost impossible to find out how to cancel. Should have an easy link to cancel. Just be warned
2024-12-26 10:29:14-07:00,5,varadero beach,Espectacular,Me gusta mucho es lo q andaba buscando
2024-12-25 23:45:31-07:00,5,Dmb0123,Buen trabajo,Perfecta edición de fotos y videos
2024-12-25 05:59:08-07:00,2,ZeldaF,Very limiting collage features,This app was a disappointment due to the limited options for collages.
2024-12-25 05:20:02-07:00,1,adkmommy,Use A Different App,"I used to love this app, but now every single feature that’s worth using is a premium feature and you have to pay for it."
2024-12-24 04:00:51-07:00,5,jinou lover,J’aime bien,C’est très simple parfait pour moi
2024-12-23 01:41:00-07:00,5,jdndhev,Most Intuitive AI editor,AI features are very easy to use and more realistic than others that I’ve used
2024-12-22 17:02:04-07:00,1,Sethford13,Fraud company,Never put your card information they will take your founds
2024-12-21 07:42:55-07:00,1,UB1,Parents beware,"Lots of unsuitable content for children under 16.  The developers say they need us to tell them where the problem is. There is no way that is true.  They know, they just don’t care. Apple should make this 18+."
2024-12-20 22:36:27-07:00,1,Not free after trial,Not free,This app came up in a search for free photo filter apps. It’s $80 a year!!! No thank you.
2024-12-20 20:45:30-07:00,5,KPYuki,Review,I’m so satisfied to take photos and videos
2024-12-14 19:40:21-07:00,1,Ccccccccb,Total rip off for $39.99,"This app is fine for free but I did a free trial to try some collages & to make a few personalizations for Christmas presents & it was horrible. Simple designs took hours. I’m talking 4 hours for a picture of a dog, a poem & some paw prints. Horrible. The collages would not print without margins & all the pictures came out super light. To top it off, I thought my free trial ending 12/8 meant I could cancel on 12/9 but was wrong & was charged $39.99 which is a complete rip off. Especially since most of the options are “vip.” You charged me $39.99 for an app that can’t even spell yearly right & have the nerve to have a plan that costs more than that?? Of course Apple will not refund because that’s what Apple does so I’ll file a complaint with the FTC for this & all the charges they refuse to refund for my minor children over the years & hope that there will be another lawsuit against them some day. There is nothing about this app that is worth $39.99 & if you want to try it, be mindful of the date the free trial ends because you will be charged."
